Document ID,Chapter,Sub-topic,Context,Grade
22,Decline of Ancient Cities in the Dry Zone and Origin of New Kingdoms in South West,The First Urbanization,"By 450 B.C., social stratification in Sri Lanka was largely complete, with numerous chieftains (Parumakas) owning production surpluses across the dry zone. These elite families maintained prestige by importing foreign articles like earthenware and beads, discovered in excavations at Anuradhapura and Tissamaharama. Active participation in Indian Ocean trade brought immense wealth to the country, enabling the surplus owners to live luxurious lives. This economic influx necessitated a mechanism of administration, leading chieftains to gather in well-planned settlements known as cities. A city was defined by markets, religious buildings, aesthetic parks, defensive moats, and tanks. The Mahawamsa describes King Pandukabhaya's detailed planning of Anuradhapura, which served as the capital for nearly 1400 years due to its self-sufficiency in food, iron industries, and irrigation technology. Magama city in the Southern province similarly reflected the cultural advancement of its region.Shift to Polonnaruwa: After the 6th century A.D., international trade shifted into the hands of Arab traders, and by the 9th century, the center of trade moved toward the Eastern Indian Ocean (South-east Asia and Southern China). Farsighted rulers realized the need to activate Eastern coast ports and move the ruling center closer to the coast to manage trade income and security. This directly influenced King Vijayabahu I to select Polonnaruwa as his capital. Under King Parakramabahu I, South-east Asian trade relations profoundly affected political and religious life, leading to royal marriages with Burmese and Cambodian princesses. This era’s art and architecture, such as the Sathmahal Prasada and the Gal Vihara Buddha statues, reflect distinct South-east Asian influences.",10
23,Decline of Ancient Cities in the Dry Zone and Origin of New Kingdoms in South West,Downfall of Polonnaruwa,"After the prosperity brought by King Parakramabahu I, the Polonnaruwa kingdom entered a gradual decline. Following his demise in 1186, only King Nissankamalla maintained a strong nine-year rule. The kingdom eventually collapsed due to four primary factors:1. Weak Leadership: In the 29 years between 1186 and 1215, twelve different rulers came to power. Most reigned for very brief periods, preventing political stability.2. Dynastic Struggles: A fierce power struggle emerged between the Kalinga and Pandyan clans. Supporters of the Kalinga clan brought leaders like Sahasamalla and Queen Kalyanawathi to power, while those supporting the Pandyans installed Queen Leelawathi three separate times. This internal friction destabilized the central government.3. Economic Deterioration: The lack of stable leadership led to the neglect of the complex irrigation systems (tanks and anicuts). Political disorder paralyzed provincial administration, leading to a decline in agriculture and trade, and ultimately a complete economic collapse.4. Invasion of Kalinga Magha: The immediate cause of the downfall was the invasion by Kalinga Magha in 1215 with a massive army. Due to the existing political chaos, Sri Lankans could not resist. Magha's rule was famously destructive; the Mahawamsa records that people were tortured, temples were robbed, and statues were destroyed.
Consequences of the Downfall: The invasion and lack of security forced monks and civilians to migrate to Ruhuna, Malaya Rata (the upcountry), and Maya Rata. Consequently, the Rajarata region, which had been the heart of civilization for over 1,500 years, was largely abandoned. Great religious sites like Ruwanweli Seya and Jethawanaramaya fell into wilderness, and the once-populated cities of the dry zone became ruins. The decline was fueled by enemy invasions, the collapse of central ruling, lack of security, and the paralysis of transport and trade.",10
24,Decline of Ancient Cities in the Dry Zone and Origin of New Kingdoms in South West,The Second Urbanization,"As the dry zone cities declined, new ruling centers emerged in the south-eastern and south-western areas, a process known as the Second Urbanization. Unlike the large, geometrically planned cities of the past, these new cities (Dambadeniya, Yapahuwa, Kurunegala, Gampola, and Kotte) were smaller and decentralized. This era was characterized by the growth of new harbors, a rebirth of literature, and a shift toward a commercial economy based on wet-zone crops like cinnamon, areca nuts, and pepper. Dambadeniya (1232–1272): Established by King Vijayabahu III, who moved the Tooth Relic to Beligala for protection. His son, King Parakramabahu II (Kalikala Sahithya Sarwagna Panditha), defeated invaders Kalinga Magha and the Javaka Chandrabhanu. He was a great scholar-king. Kurunegala (1293–1341): Established by King Buvanekabahu II. This period is famous for the translation of the Jataka story book into Sinhala and the construction of the Kurunegala tank. Gampola (1341–1412): Established by King Buvanekabahu IV. This period featured powerful families like the Alakeshwara of Rayigama. Nissanka Alakeshwara built a fortress in Kotte and defeated the Jaffna-based Arya Chakravarthi's tax officers. Kotte (1415–1597): Established by King Parakramabahu VI, who united the whole country, conquered Jaffna (led by Prince Sapumal), and initiated a golden age of literature. Economy: Shifted to the wet zone; relied on rain-fed agriculture and exports of cinnamon, pearls, gems, and tuskers. Trade relations existed with China (porcelain imports), Arab, and Egypt. Religion: Buddhism remained central, but Hindu and Mahayana influences grew, evidenced by Devalas (e.g., Upulwan, Vibheeshana) being built into Buddhist temples. Arts & Architecture: Yapahuwa showed Pandyan and Cambodian influences. Embekke Devala became famous for its intricate wood carvings. Literature: The Kotte period was the ""Golden Age,"" featuring Sandesha Kavyas (Selalihini, Gira, Hansa) and scholars like Thotagamuve Sri Rahula Thero. Jaffna Kingdom: Founded by the Arya Chakravarthi dynasty after the fall of Rajarata. Major sources include the Yalpana Vayipava Maleyi. It was brought under Kotte's control by Prince Sapumal but later became independent. Vanniyars: Small provincial units (Vanni) led by Vanniyars emerged in low-density areas. There were eighteen Vanni areas, which often paid tribute to the central king during strong reigns like that of Parakramabahu VI.",10
25,Kandyan Kingdom,Beginning and Expansion,"The Kandyan kingdom was known by names such as Senkadagala Nuwara, Udarata Rajadhaniya, and Mahanuwara. Its capital, Kandy, was naturally protected by the Mahaweli River and difficult mountain passes (ghats) like Balana and Hunnasgiriya. It possessed a balmy climate and fertile land. King Senasammatha Vickramabahu is considered the founder, making it an independent kingdom for the first time. He was succeeded by Jayaweera Bandara (1511-1551) and Karaliyedde Bandara, the latter of whom maintained a pro-Portuguese policy that led to an invasion by King Rajasinghe I of Seethawaka. Karaliyadde's daughter, Kusumasana Devi (Dona Kathirina), and son-in-law Yamasinghe Bandara (Don Philip) fled to Portuguese protection.King Vimaladharmasooriya I (1592–1604): Formerly known as Konappu Bandara, he defeated the Portuguese and established a new dynasty. He legitimized his rule by marrying Kusumasana Devi, embracing Buddhism, and bringing the Sacred Tooth Relic to Kandy. He achieved a major military victory at the Battle of Danthure (1594) and initiated a Buddhist revival by bringing the Upasampada (higher ordination) from Myanmar and renovating temples like Gadaladeniya.
King Senarath (1604-1635) and King Rajasinghe II (1635-1687): King Senarath divided the kingdom among three princes to avoid competition: Uva to Kumarasinghe, Matale to Vijepala, and Kandy to Maha Asthana (Rajasinghe II). Rajasinghe II was a great warrior who annihilated the Portuguese at the Battle of Randeniwala (1630) and the Battle of Gannoruwa (1638). He formed an alliance with the Dutch to expel the Portuguese in 1658, though he later had to fight Dutch expansion.The Nayakkar Dynasty: After King Sri Veera Parakrama Narendrasinghe (1707-1739) died without an heir, the throne passed to his queen's brother, Sri Vijaya Rajasinghe, starting the Nayakkar dynasty. King Keerthi Sri Rajasinghe (1747-1781) is noted for a massive Buddhist revival, establishing the Siyam sect by inviting Upali Thero from Thailand and granting the post of Sangaraja to Weliwita Saranankara Thero.Fall of the Kingdom: Under King Rajadhirajasinghe, the English captured coastal areas in 1796. The last king, Sri Vickrama Rajasinghe (1798-1815), initially defeated the English in 1803 but later lost the support of Kandyan chieftains due to his cruel rule. In February 1815, the English captured the king and took possession of the kingdom through the Kandyan Convention (March 1815). The king was deported to Vellore, ending the era of Sri Lankan monarchy.",10
26,Kandyan Kingdom,he Administrative Structure of the Kandyan Kingdom,"The King held the highest position in the administrative hierarchy, serving as the head of the legislature, executive, and judiciary. He was assisted by two Adikarams (Maha Adikaram/Pallegampaha and Devana Adikaram/Udagampaha), who were second only to the king. A Royal Council comprising Adikarams, Disawes, and Lekams advised the king on state affairs. The administration was divided into the Maha Vasala Sevaya (Palace service), Rata Wasama (provincial ruling), Maha Badda (tax structure), and the administration of Temples and Devalas.Administrative Officers:1. Adikarams: Managed specific regions; Maha Adikaram oversaw areas like Matale and Wellassa, while Devana Adikaram oversaw Sabaragamuwa and Thun Koralaya. Messengers for Adikarams were called 'Katupulle Messengers', carrying a silver-ringed cane as a symbol.2. Mahawasala (Palace Officers): Responsible for the king's daily life and palace grandeur. Examples include Gajanayaka Nilame (Tuskers), Maha Lekam (Chief Secretary), Diyawadana Nilame (Water/Tooth Relic rituals), and Bath Wadana Nilame (Food).3. Provincial Ruling (Ratawasam): The kingdom had 21 areas. 9 areas near Kandy were called 'Rata' (overseen by Rate Rala or Rate Mahathwaru), and 12 outer areas were 'Disawes' (overseen by a Disawa). Disawes were subdivided into Koralas (under a Korale), Pattus (under Muhandiramas), and villages (under Vidanes).4. Badde Sanvidhanya (Caste-based Structure): Categorized by profession, such as Madige Badda (transport), Kuruwe Badda (tuskers), and Badahela Badda (pottery).
Judicial Affairs: The king possessed the highest judicial power and was the only authority allowed to grant the death sentence or hear cases of treason, riots, and conspiracies. Other officers held judicial power relative to their rank. Punishments ranged from fines and whipping to banishment or being trampled by elephants.Religious Administration: Temples were managed by Mahanayaka and Anu Nayaka Theros. The Dalada Maligawa was managed by the Diyawadana Nilame, supported by people providing official labor for processions (Perahera) and Poojas.",10
27,Kandyan Kingdom,Economic System,"The Kandyan kingdom was characterized by a consumer-based, self-sufficient agricultural economy. Due to the hilly terrain, land for traditional paddy cultivation was limited, and agriculture was further constrained by the decline of the large-scale irrigation systems seen in the ancient Raja Rata and Ruhun areas. To adapt to the environment, paddy cultivation was performed on the steep precipices of mountains using terrace farming techniques. A significant portion of the land was dedicated to Chena cultivation, producing grains such as Kurakkan (finger millet), Amu, maize, and wheat, alongside various yams and sweet potatoes.  Home gardens were highly productive, growing Jak, breadfruit, pepper, cardamom, areca nuts, vegetables, and fruits. Supplementary crops played a vital role in ensuring food security. Beyond agriculture, animal husbandry was practiced for both milk and labor. The kingdom also maintained a developed industrial sector, specifically in iron and steel (centered in Kotmale and Walapane), wood-working, metal-work, lacquer-work, and reed industries.  This diversified economic structure allowed the kingdom to remain resilient and independent for centuries.",10
28,Kandyan Kingdom,Social Organization,"The social organization of the Kandyan kingdom was a rural, caste-based society centered on the village and the temple. The King was regarded as the ultimate owner of all land, which was categorized based on its use and ownership:1. Gabadagama: Lands for the exclusive use of the King’s palace.
2. Nindagam: Lands granted to aristocrats for their state service.3. Viharagam & Devalagam: Lands offered to Buddhist temples and Devalas.
4. Paravenigam: Ancestral lands enjoyed by villagers for generations.
The tenure system was governed by 'Rajakariya', where people provided specific services or goods to the King in exchange for land use. Social relations and economic activities were strictly defined by the caste system.Family and Marriage: The family was the primary social unit, and marriages were governed by caste. Three types of marriage were practiced:1. Deega Vivahaya: The bride moves to the bridegroom’s house.2. Binna Vivahaya: The bridegroom resides permanently in the bride’s house.3. Eka Geyi Kema: A fraternal polyandry practice where one bride was shared by brothers within the same family.
Social Fabric: The economy operated largely on a barter system. Virtue and morality were the prominent features of society, with the temple serving as the center of communal life. The kingdom was ruled by a succession of monarchs from King Senasammatha Vikramabahu (1469) to the last king, Sri Vickrama Rajasinghe (1815).",10
29,Renaissance,Reasons for the Renaissance,"The Renaissance (rebirth) was a period of profound transformation in Europe triggered by several key factors:1. Fall of Constantinople (1453): When Islamic Turks captured the city, Greek and Roman scholars fled to Europe with ancient manuscripts, reviving interest in classical cultures.
2. Growth of Trade & New Wealth: Cities like Venice, Genoa, and Florence grew rich from Eastern trade. Wealthy families, like the Medici, used their financial power to support artists and scholars independently of the feudal system.3. Intellectual Revival & Printing: Education shifted from theology to subjects like history and phonetics. Johannes Gutenberg’s invention of the printing press (1454) made books abundant, spreading Greek and Roman literature rapidly.4. Criticism of the Church: Renaissance thinking led to the questioning of the Church's worldly power. Critics included John Wycliffe, John Huss, Erasmus, and Martin Luther.    Academic Renaissance: Revived Latin and Greek languages and birthed modern literature. Notable authors included Dante (Divine Commedia), Petrarch, Shakespeare, and Francis Bacon. Humanism became central, shifting the focus from theology to the nobility and potential of man.Arts and Crafts: Artists gained independence from medieval ""grades"" (guilds). Leonardo Da Vinci (the ""Renaissance Man"") created masterpieces like the Mona Lisa and The Last Supper. Michael Angelo excelled in sculpture (Pieta, David) and painting (the Sistine Chapel ceiling). Raphael was also a prominent painter and architect.Architecture: Replaced medieval pointed arches with Roman-style circular arches, high pillars, and half-round domes (e.g., Saint Peter’s Basilica).  The era marked the birth of modern experimentation. Nicholas Copernicus (Father of Modern Astronomy) discovered the earth rotates around the sun. Isaac Newton discovered gravity, and Johannes Kepler confirmed planetary orbits. Galileo Galili (Father of Experiment) invented the telescope to observe the moon and Jupiter.Medicine: William Harvey discovered blood circulation, Paracelsus advanced pharmacology, and Michael Servetus explained how lungs purify blood.  Political: Feudalism declined as separate provinces united into National States under powerful kings. A new Middle Class (merchants, bankers) emerged, supporting the monarchy in exchange for trade protections.Economic: Self-sufficient medieval economies transitioned to a global commercial system. New sea routes led to the import of spices, gold, and gems. This led to the rise of the banking system, currency usage, and the exchange of cheques.  Exploration: Driven by the capture of Constantinople, Europeans sought new sea routes to Asia. Aids like the compass, Ptolemy's world map, and the knowledge that the earth is round supported this. Vasco de Gama reached India (Calicut), Christopher Columbus reached the West Indies, and Ferdinand Magellan reached the Philippines.Global Impact: The Renaissance spread from Florence across Europe and then the world through colonization. It introduced European printing, scientific technology, and architecture to Asian, African, and American continents, making it a global trend that defined the modern world.",10
30,Renaissance,Influence of the Renaissance on Sri Lanka,"The global impact of the European Renaissance reached Sri Lanka through the arrival of the Portuguese, Dutch, and British. While the Kandyan Kingdom remained independent for some time, the eventual British conquest in 1815 turned the entire island into a colony, leading to broad transformations based on European thinking, capitalism, and the Industrial Revolution.
Political Changes: The traditional monarchical system was replaced by a parliamentary government system. The traditional provincial ruling structure of Adikarams, Disawes, and Koralas was abolished in favor of a new civil administrative system. The ancient local legal system was replaced by European-based laws, including Roman-Dutch Law (introduced by the Dutch) and a British court system.Economic Changes: Sri Lanka shifted from a rural, self-sufficient economy to a commercial export-import economy. The Europeans introduced plantation crops: Cinnamon (Dutch), and Coffee, Tea, Rubber, Cocoa, and Cinchona (British). This led to the collapse of the traditional self-sufficiency and the start of importing even essential food items. Infrastructure such as the railway system and a network of roads were built to transport trade goods to major port cities like Colombo, Galle, and Trincomalee. A new middle class emerged from these economic activities.
Social and Cultural Transformations: The printing industry, originally introduced by the Dutch and expanded by the British, revolutionized society through the publication of newspapers and books, spreading Western literature and thought. A new education system based on European models was established. Religion also underwent a shift; the Portuguese propagated Roman Catholicism, while the Dutch and British introduced Protestant sects following the European Reformation of 1517. These changes were reflected in the local architecture of churches and government buildings.",10
31,Sri Lanka and the Western World,Arrival of the Portuguese in Asia,"Historically, trade between Asia and Europe followed three main routes connecting to Constantinople: the Silk Route through Persia, the Mediterranean/Red Sea route, and the Persian Gulf route to India. During the medieval period, Muslim traders held a monopoly on Asian spices. The 1453 capture of Constantinople by the Ottoman Turks blocked these traditional routes, causing a shortage and price hike of spices like cinnamon and pepper in Europe. This challenged Europeans to find new sea routes to reach Asia.
Portuguese Pioneering: Situated on the Iberian Peninsula facing the Atlantic, Portugal became a leader in naval exploration. Prince Henry the Navigator established a naval school teaching navigation, mapping, and astronomy. In 1498, Vasco de Gama successfully sailed around Africa to reach Calicut in India, marking the start of 450 years of European domination in Asia. Following the Portuguese, the Dutch, English, and French also arrived in the region.
Objectives: The Portuguese arrived with two primary goals: economic benefits and the propagation of the Roman Catholic religion. They aimed to dismantle the Muslim trade monopoly to secure vast profits. Their mission was famously summarized by the statement: ""We arrived here in search of Christians and spices."" They sought permission to establish storehouses and bring priests to preach in newly accessed territories.",10
32,Sri Lanka and the Western World,The Political Condition in Sri Lanka when the Portuguese arrived in Sri Lanka ,"Following the Vijayaba Kollaya (1521), disputes arose between King Buvanekabahu VII (Kotte) and King Mayadunne (Seethawaka) over the future kingship. Mayadunne sought to unify Kotte under his rule, while Buvanekabahu aimed to pass the throne to his grandson, Dharmapala. Fearing Mayadunne, Buvanekabahu sought Portuguese protection. This allowed the Portuguese to intervene in all state affairs. Mayadunne, supported by the Muslims and naval forces from the Samorin of Calicut, launched several unsuccessful attacks. After Buvanekabahu's assassination in 1550, Dharmapala became a puppet ruler. He embraced Catholicism and gifted the Kotte kingdom to the Portuguese by deed, granting them legal claim upon his death in 1597. Veediye Bandara, a great warrior and father of Dharmapala, revolted against Portuguese looting. Though initially imprisoned, he escaped and built a fort in Pelenda, leading a patriotic struggle until his defeat by the combined forces of Mayadunne and the Portuguese. Kingdom of Seethawaka: Under Mayadunne and later his son, Tikiri Bandara (King Rajasinghe I), Seethawaka became the center of resistance. In 1562, at the Battle of Mulleriyawa, the Seethawaka army inflicted a massive defeat on the Portuguese, killing nearly 1,600 soldiers. Rajasinghe I eventually annexed Kandy and confined the Portuguese to Colombo, though he failed to expel them due to lack of naval power. The Portuguese initially ignored Jaffna but invaded in 1543 and 1560 due to King Sankili’s resistance to Catholicism and interference with trade. After capturing Mannar, the Portuguese intervened in Jaffna’s internal power struggles. In 1621, an army led by Philip De Olivera finally seized Jaffna. The kingdom collapsed due to internal dynastic divisions, a lack of a standing army, and its lack of natural mountain defenses compared to the Kandyan kingdom. As the last bastion of independence, the Kandyan Kingdom faced four major Portuguese invasions:1. Battle of Danthure (1594): King Vimaladharmasooriya I destroyed the Portuguese battalion and killed Governor Pero Lopes De Susa.
2. Battle of Balana (1602): General Asavedu’s army was decimated at the Balana pass.3. Battle of Randeniwala (1630): Led by Prince Maha Asthana (Rajasinghe II), the Kandyans killed Constantinu De Sa and annihilated his force.4. Battle of Gannoruwa (1638): The final major invasion where King Rajasinghe II's forces left fewer than 100 Portuguese survivors.Kandy remained independent due to the support of its people, the defection of low-country soldiers, the king's guerrilla tactics, and its naturally protected geography.",10
33,Sri Lanka and the Western World,Sri Lanka and the Dutch,"The Dutch (from Holland) established the VOC (East Holland Trade Company) in 1602 to consolidate their power in Asia and maximize profits. Headquartered in Batavia (Java), they sought Sri Lankan cinnamon and pepper. Initial missions by Joris van Spilbergen (1602) and Sebald de Weert were unsuccessful. However, King Rajasinghe II sought a successful alliance with the Dutch to compensate for his lack of naval power in his struggle against the Portuguese. Following the capture of the Batticaloa fort in 1638, King Rajasinghe II signed a treaty with the Dutch. Fundamental Facts: 1. The Dutch would assist in expelling the Portuguese. 2. The King would pay for military expenses with trade items (cinnamon, pepper). 3. The Dutch gained a trade monopoly (except for tuskers). 4. Dutch troops could occupy retrieved forts only with the King's consent. Between 1638 and 1658, joint forces captured forts in Trincomalee, Galle, and Colombo, finally expelling the Portuguese. However, the Dutch violated the treaty by refusing to hand over key forts, damaging their relationship with the King. The Dutch policy toward Kandy was dual-natured: 1. Diplomacy: To secure cinnamon, they won the King's favor with gifts and provided ships for religious missions (bringing Upasampada from Burma/Thailand). They addressed the King as ""Thrisinhaladeeshvara"" in letters, signing off as ""most obedient servants."" 2. Economic Monopoly: They closed city boundaries during disputes, blocked the King's relations with other foreigners, and expanded plantations of cinnamon, sugarcane, coffee, and cotton. They also developed low-country paddy cultivation to reduce rice import costs. Tensions flared under King Keerthi Sri Rajasinghe. After low-country rebellions in 1760, the Dutch launched invasions of Kandy in 1764 and 1765. Though the Dutch reached the city in 1765, they were forced to retreat due to disease and lack of food. However, the prolonged war forced the King to sign the 1766 Peace Pact. Consequences: 1. Kandy lost its remaining coastal areas, cutting off independent trade. 2. The Dutch gained legal rights to all coastal territories they possessed. This pact was a significant blow to the Kandyan Kingdom's sovereignty and economy.",10
34,Industrial Revolution,Beginning and Development of  the Industrial Revolution,"The Industrial Revolution began in Britain during the latter part of the 18th century and remained concentrated there for nearly fifty years before spreading across Europe and the world in the 19th century. While countries like France, Portugal, and Spain also engaged in colonization and trade, Britain surpassed them due to several unique factors.Reasons for the Emergence in Britain:1. Capital and Investment: By the 18th century, Britain had accumulated vast wealth through trade and commerce, creating a wealthy class ready to invest in industrial sectors.2. Population Growth & Demand: A rapid increase in Britain's population created a high demand for goods. To meet this, traditional production methods had to be replaced by mechanized ones.3. Scientific Knowledge & Resources: The scientific expansion from the Renaissance was applied to create new machinery. Britain possessed rich deposits of iron and steel for building machines and coal as a primary energy source.
4. Colonial Monopoly: Britain used commercial laws to obstruct its colonies from trading with other nations, ensuring a captive market with high demand for British products, particularly cotton clothes in India.5. The Encroaching Movement: In the agricultural sector, rich landowners consolidated small farms into large estates. This displaced poor farmers, creating a surplus of labor that migrated to cities to work in factories.6. Social and Political Stability: Unlike other European nations, Britain offered a free social environment where individuals could earn money regardless of social status. The British Parliament also provided political stability, tax reliefs, and support for business activities.7. Geographic Advantage: As a small island, Britain could easily build a web of markets. London became a global center for distributing raw materials, capital, and finished products.",11
35,Industrial Revolution,Rise of  the Industrial Revolution,"The Industrial Revolution in Britain was built upon three core sectors: the Textile, Iron and Steel, and Coal industries. Progress in these fields catalyzed advancements in transport, communication, and agriculture.
1. Textile Industry: Mechanical inventions solved the bottleneck of slow manual spinning. Key milestones include John Kay’s Flying Shuttle (1733), James Hargreaves’ Spinning Jenny (1764), and Richard Arkwright’s Water Frame (1769). Samuel Crompton combined these into the 'Mule' (1779), which produced finer threads, and Edmund Cartwright eventually applied steam power to the weaving process (1785).2. Iron and Steel Industry: Firewood was replaced by coal for smelting ore. Abraham Darby (1730) pioneered coal-smelting for molded iron. Henry Cort invented the 'Roller' (1784) for tempered iron. Henry Bessemer (1856) and the Open-Hearth process (1860) revolutionized high-quality steel production, while Wilhelm Siemens (1870) introduced the electric oven.3. Coal Industry: Essential for fuel, coal mining faced challenges like water flooding and poisonous gases. Thomas Newcomen (1735) and James Watt (1736) developed efficient steam engines to pump water. Humphry Davy’s Safety Lamp (1812) provided light, and iron cables replaced copper for hauling. Coal by-products like tar, dyes, and medicines also emerged.4. Expansion of Transport and Communication:- Transport: John McAdam introduced the 'Macadam Method' for road construction (granite layers). George Stephenson (1814) invented the locomotive steam engine. Naval transport advanced with Robert Fulton’s steamboat (1807). Later, the motor car (Daimler, 1885) and aeroplane (Wright Brothers, 1903) revolutionized travel.- Communication: The 'Penny Postal Service' (1840) made mail affordable. Samuel Morse (1844) started the telegraph, Alexander Graham Bell (1876) invented the telephone, and Guglielmo Marconi (1895) pioneered radio signals.5. Expansion of Agriculture: The 'Encroaching Movement' created mega-farms. Jethro Tull introduced line sowing with horse-drawn ploughs. Robert Bakewell advanced sheep breeding. Chemical fertilizers (Guano) and mechanization (forest-clearing machines) increased productivity.
6. Global Expansion: By the 19th century, industrialization spread to France, Germany (a powerhouse by WWI), Belgium, and the USA. In Asia, Japan rapidly modernized, while China, India, and Sri Lanka felt the influence by the 20th century, creating a 'global village'.7. Results of the Industrial Revolution:
- Political: Emergence of a wealthy capitalist class and an underprivileged working class. This led to labour unions, socialism, and liberalism. Adam Smith’s 'Laissez-faire' concept promoted capitalism. Neo-imperialism arose as nations competed for colonies for raw materials.- Economic: Shift from self-sufficiency to an export-import economy dominated by multi-national companies and banking systems.- Social: Rapid urbanization led to overcrowded cities (e.g., Vienna). A classed society formed where factory owners prospered while workers suffered 12-14 hour days in poor conditions. Child and female labour became widespread.- Environmental: High pollution levels as factories released waste into water and poisonous gases into the atmosphere.",11
36,Industrial Revolution,Effects of  the Industrial Revolution on Sri Lanka,"Although Sri Lanka did not undergo a domestic industrial revolution in the 19th century, it was deeply affected by the British revolution as a colony. The British transformed the economy through mega-scale plantations (tea, rubber, coconut) and imported machinery to process these products.
Key Industrial Milestones:1. Early Mechanization: Governor Frederic North started a coffee-pounding mill in 1804. Machines were later introduced in tea factories for drying, grading, and exporting, and in rubber processing.
2. Infrastructure: The Macadam method for road construction was introduced in 1885. The Colombo-Kandy road was built under Governor Edward Barnes, followed by routes from Kurunegala and Dambulla. Wooden bridges were replaced by iron ones.3. Railways: Governor Henry Ward initiated the railway system. The Colombo-Kandy line began in 1858 and was completed in 1863; the first train service ran in 1867. The network reached Nawalapitiya (1871) and Bandarawela (1899).4. Communication: An official postal system started in 1815 using horse-drawn chariots (the first in Asia). The first postal stamp was issued in 1857, and by 1903, 340 post offices existed. The telegram service launched in 1858.
Socio-Economic Shifts:- Class Structure: A salary-earning labor class emerged alongside a wealthy, educated middle class of landowners and factory owners.
- Capitalism: A capitalist system focused on import-export trade led to the establishment of the first banks to manage international transactions.
- Urbanization: Transport hubs evolved into major cities like Gampola, Badulla, Ratnapura, and Matale.",11
37,Establishment of British Power in Sri Lanka,Arrival of British in Asia,"Motivated by the profits earned by the Portuguese and Dutch, a group of English businessmen established the East India Trade Company in December 1600, following a royal warrant from Queen Elizabeth I. Their first missions reached the Sumatra islands and India, where William Hawkins negotiated trade with the Mughal Emperor, Jahangir. Initially, the English focused on Southeast Asia, occasionally assisting the Dutch against the Portuguese. However, the Dutch were wary of English competition in the spice islands. This tension culminated in 1623 when the Dutch attacked the fortress of Ambon, killing English residents. Lacking the power to retaliate, the English withdrew from Southeast Asia and shifted their focus entirely to India. By the late 17th century, they established key trade centers in Bombay, Calcutta, and Madras. In India, they faced further competition from the French, who established posts in Pondicherry and Karikal. By the 18th century, this rivalry evolved into a significant political battle for dominance over the Indian subcontinent.",11
38,Establishment of British Power in Sri Lanka,The British focusing their Attention on Sri Lanka,"The British initially ignored Sri Lanka while focusing on consolidating power in India. However, as the Mughal Empire declined and British political power in India grew during the 18th century, Sri Lanka became a priority due to its geographical location and valuable trade items.Strategic Importance: Sri Lanka was seen as a vital hub for naval administration in the Indian Ocean and Bay of Bengal. The British specifically coveted Trincomalee Harbour to:
1. Protect naval power on India's eastern coast.
2. Repair ships damaged in battles with the French.
3. Shelter the fleet from the North-eastern monsoon winds.
Economic Interests: The British sought a monopoly on Sri Lanka's high-quality cinnamon, which was highly profitable for the Dutch. They were also interested in pepper, cardamom, cloves, pearls, gems, and ivory.Diplomatic Relationships (1762–1795): Just as kings had used the Dutch to expel the Portuguese, Kandyan kings sought British help to expel the Dutch. Three major British missions visited Kandy:
1. John Pybus (1762): Met King Keerthi Sri Rajasinghe; the mission failed as the British were reluctant to help the King against the Dutch due to temporary mutual peace in Europe.
2. Hugh Boyd (1782): Visited during King Rajadhirajasinghe's reign; also unsuccessful.
3. Robert Andrews (1795): Visited after the British captured Trincomalee from the Dutch. Though the King agreed to support the British against the Dutch, the British ultimately refused the King's conditions, realizing they could conquer Dutch territories without sharing profits with the Kandyan monarchy.",11
